,strain,review_total
2605,red haze,42.0
2606,red headed stranger,173.0
2607,red poison,32.0
2608,red rhino,2.0
2609,red velvet pie,7.0
2610,red widow,10.0
2611,redd cross,5.0
2612,redding og,
2613,redwood kush,200.0
2614,remedy,111.0
2615,remo chemo,3.0
2616,rene,
2617,rene mist,
2618,revival,
2619,richie rich,4.0
2620,riddler og,
2621,ridge berry,
2622,rigger kush,
2623,ringos gift,117.0
2624,rip city purps,6.0
2625,ripped bubba,79.0
2626,rise n shine,4.0
2627,river song,3.0
2628,road dawg,13.0
2629,rob ford kush,11.0
2630,robert plant,4.0
2631,rockbud,13.0
2632,rocket fuel,21.0
2633,rocklock,59.0
2634,rockstar,327.0
2635,rockstar kush,84.0
2636,rockstar master kush,27.0
2637,rocky dennis,29.0
2638,rocky mountain blueberry,17.0
2639,rocky mountain high,19.0
2640,rocket fuel,21.0
2641,rocklock,59.0
2642,rockstar,327.0
2643,rockstar kush,84.0
2644,rockstar master kush,27.0
2645,rocky dennis,29.0
2646,rocky mountain blueberry,17.0
2647,rocky mountain high,19.0
2648,rollex og kush,55.0
2649,rolls choice,55.0
2650,romping goddess,
2651,romulan,811.0
2652,romulan grapefruit,73.0
2653,romulan haze,8.0
2654,root beer kush,35.0
2655,rose bud,22.0
2656,royal chemdawg,16.0
2657,royal dwarf,15.0
2658,royal haze,29.0
2659,royal highness,43.0
2660,royal kush,187.0
2661,royal salute,
2662,royal tree sherbet,
2663,roz,5.0
2664,rubicon,23.0
2665,rudeboi og,71.0
2666,rug burn og,121.0
2667,russian assassin,21.0
2668,russian doll,6.0
2669,russian rocket fuel,25.0
2670,russian roulette,1.0
2671,sage,276.0
2672,sage walker,2.0
2673,sfv dog,23.0
2674,sfv og,672.0
2675,sfv og kush,208.0
2676,sfv og kush,
2677,safety meeting,3.0
2678,sage n sour,219.0
2679,salmon river og,66.0
2680,samoa kush,
2681,santa maria,90.0
2682,santa sativa,6.0
2683,sapphire cherries,
2684,sapphire scout,14.0
2685,sapphire star,24.0
2686,sasquatch sap,9.0
2687,satellite og,43.0
2688,satori,67.0
2689,satsuma,2.0
2690,saturn og,40.0
2691,savage citrus sunshine,2.0
2692,savants grail,4.0
2693,schrom,28.0
2694,scooby snack,177.0
2695,scotts og,120.0
2696,satori,67.0
2697,satsuma,2.0
2698,saturn og,40.0
2699,savage citrus sunshine,2.0
2700,savants grail,4.0
2701,schrom,28.0
2702,scooby snack,177.0
2703,scotts og,120.0
2704,scouts honor,19.0
2705,scroopy noopers,9.0
2706,seattle blue,20.0
2707,seattle cough,52.0
2708,seattle summer,2.0
2709,seattlesoda,8.0
2710,secret garden og,3.0
2711,secret recipe,52.0
2712,sensi skunk,36.0
2713,sensi star,633.0
2714,sequoia strawberry,24.0
2715,sergerbloom haze,
2716,serious 6,20.0
2717,serious happiness,15.0
2718,sexxpot,18.0
2719,shaman,36.0
2720,shamans dream,
2721,shangri la,42.0
2722,shark attack,16.0
2723,shark bite,13.0
2724,shark shock,226.0
2725,sharks breath,84.0
2726,sunset sherbert,1113.0
2727,shiatsu kush,58.0
2728,shining silver haze,9.0
2729,shipwreck,92.0
2730,shishkaberry,333.0
2731,shiskaquine,
2732,shiva skunk,100.0
2733,shoreline,95.0
2734,shurman,9.0
2735,siddharthas dream,
2736,sidetracked,3.0
2737,sierra mist,13.0
2738,silver back,11.0
2739,silver bubble,61.0
2740,silver calyx,
2741,silver cindy,1.0
2742,silver haze,686.0
2743,silver kush,98.0
2744,silver mountain,6.0
2745,silver nina,
2746,silver pearl,73.0
2747,silver surfer,64.0
2748,silver train,22.0
2749,silverback gorilla,131.0
2750,silverfalls kush,
2751,silverhawks og,11.0
2752,silver mountain,6.0
2753,silver nina,
2754,silver pearl,73.0
2755,silver surfer,64.0
2756,silver train,22.0
2757,silverback gorilla,131.0
2758,silverfalls kush,
2759,silverhawks og,11.0
2760,sin city kush,15.0
2761,sin valley og,46.0
2762,sinmint cookies,81.0
2763,sinai,
2764,sirius black,59.0
2765,sister glue,491.0
2766,six shooter,7.0
2767,sizzurp,4.0
2768,skins skunk,
2769,skunk 47,28.0
2770,skunk dawg,31.0
2771,skunk haze,71.0
2772,skunk 1,439.0
2773,skunk plus,5.0
2774,skunkberry,76.0
2775,skunky diesel,
2776,sky lotus,10.0
2777,sky master,15.0
2778,skydog,
2779,skywalker alien,82.0
2780,slazerbeam,17.0
2781,sleeskunk,13.0
2782,sleestack,23.0
2783,slice of heaven,
2784,slimer og,24.0
2785,slurpie,1.0
2786,smelliot,
2787,smooth operator,
2788,snoop dogg og,135.0
2789,snoop s dream,351.0
2790,snow bud,43.0
2791,snow diesel,9.0
2792,snow goddess,4.0
2793,snow leopard,49.0
2794,snow lotus,28.0
2795,snow monster,34.0
2796,snow mountain,3.0
2797,snow ryder,1.0
2798,snow white,150.0
2799,snowland,42.0
2800,snowcap,488.0
2801,sojay haze,58.0
2802,solos stash,
2803,somango,129.0
2804,sonic screwdriver,20.0
2805,sonoma coma,27.0
2806,soraya,
2807,sorbet 4,
2808,snowcap,488.0
2809,sojay haze,58.0
2810,solos stash,
2811,somango,129.0
2812,sonic screwdriver,20.0
2813,sonoma coma,27.0
2814,soraya,
2815,sorbet 4,
2816,sorbet dreams,
2817,sorbet stash,
2818,sorbetto,3.0
2819,sorcerers apprentice,
2820,soul assassin og,41.0
2821,soul shine,
2822,soulshine aloha,2.0
2823,sour alien,124.0
2824,sour amnesia,109.0
2825,sour ape,12.0
2826,sour apple,220.0
2827,sour banana sherbet,159.0
2828,sour blueberry,9.0
2829,sour boggle,
2830,sour breath,17.0
2831,sour bubba,29.0
2832,sour bubble,42.0
2833,sour candy,46.0
2834,sour chees,118.0
2835,sour cherry sherbert,16.0
2836,sour chocolate,
2837,sour chunk,12.0
2838,sour cookies,92.0
2839,sour cream,85.0
2840,sour diesel,7317.0
2841,sour dream,121.0
2842,sour dubble,19.0
2843,sour flower,40.0
2844,sour grape,191.0
2845,sour haze,68.0
2846,sour headband,33.0
2847,sour jack,182.0
2848,sour jilly,21.0
2849,sour joker,58.0
2850,sour kosher,1.0
2851,sour kush,579.0
2852,sour lsd,29.0
2853,sour lemon og,94.0
2854,sour lemons,
2855,sour lifesavers,
2856,sour maui,49.0
2857,sour og,669.0
2858,sour patch kiss,33.0
2859,sour pebbles,35.0
2860,sour poison,21.0
2861,sour power,44.0
2862,sour power og,7.0
2863,sour sorbet,
2864,sour maui,49.0
2865,sour og,669.0
2866,sour patch kiss,33.0
2867,sour pebbles,35.0
2868,sour poison,21.0
2869,sour power,44.0
2870,sour power og,7.0
2871,sour sorbet,
2872,sour space candy,4.0
2873,sour spyder,4.0
2874,sour star head,5.0
2875,sour strawberry,3.0
2876,sour strawberry diesel,59.0
2877,sour sunset,45.0
2878,sour tangie,520.0
2879,sour tsunami,232.0
2880,sour urkle,57.0
2881,sour willie,41.0
2882,sourlope,
2883,south american,27.0
2884,south asian,4.0
2885,south asian sativa,2.0
2886,south central la,
2887,south indian indica,5.0
2888,south indian,11.0
2889,southern lights,9.0
2890,space bomb,96.0
2891,space cake,9.0
2892,space candy,94.0
2893,space cream,25.0
2894,space dawg,49.0
2895,space jill,24.0
2896,space monster,
2897,space needle,12.0
2898,space poison,
2899,space queen,567.0
2900,special k,
2901,special kush 1,17.0
2902,special sauce,7.0
2903,spicy disco,1.0
2904,spiked punch,4.0
2905,spirit of 76,30.0
2906,spliffs strawberry,5.0
2907,spoetnik 1,5.0
2908,spumoni,1.0
2909,sputnik,19.0
2910,spyder mon,
2911,star 47,3.0
2912,star berry,12.0
2913,star killer,234.0
2914,star master kush,19.0
2915,star pupil,12.0
2916,star tonic,36.0
2917,starbud,57.0
2918,stardawg,493.0
2919,stardawg 91,
2920,star berry,12.0
2921,star killer,234.0
2922,star master kush,19.0
2923,star pupil,12.0
2924,star tonic,36.0
2925,starbud,57.0
2926,stardawg,493.0
2927,stardawg 91,
2928,stardawg guava,51.0
2929,starfighter,52.0
2930,starman,1.0
2931,starry night,21.0
2932,stashsquatch,
2933,stella blue,24.0
2934,stephen hawking kush,53.0
2935,stevie wonder,22.0
2936,stinky pete,5.0
2937,stoopid fruits,2.0
2938,straight as haze,
2939,strange brew,
2940,strawberries  cream,
2941,strawberry,172.0
2942,strawberry alien kush,2.0
2943,strawberry amnesia,47.0
2944,strawberry banana,429.0
2945,strawberry blonde,14.0
2946,strawberry blondie,27.0
2947,strawberry blue,54.0
2948,strawberry cheesecake,151.0
2949,strawberry cough,2254.0
2950,strawberry diesel,288.0
2951,strawberry dream,64.0
2952,strawberry durban diesel,6.0
2953,strawberry fields,146.0
2954,strawberry frost,8.0
2955,strawberry ice,64.0
2956,strawberry kush,391.0
2957,strawberry lemonade,183.0
2958,strawberry lemonade,
2959,strawberry milkshake,14.0
2960,strawberry og,46.0
2961,strawberry satori,25.0
2962,strawberry shortcake,28.0
2963,strawberry snow cone,5.0
2964,strawberry sorbet,
2965,sublime,23.0
2966,sugar black rose,224.0
2967,sugar breath,1.0
2968,sugar calyx,
2969,sugar cookie,208.0
2970,sugar kush,69.0
2971,sugar mama,21.0
2972,sugar pine,3.0
2973,sugar plum,50.0
2974,joliet jake,45.0
2975,sugar punch,25.0
2976,sugar calyx,
2977,sugar cookie,208.0
2978,sugar kush,69.0
2979,sugar mama,21.0
2980,sugar pine,3.0
2981,sugar plum,50.0
2982,joliet jake,45.0
2983,sugar punch,25.0
2984,sugar shack,108.0
2985,suicide girl,
2986,summer breeze,7.0
2987,summertime squeeze,
2988,sumo grande,7.0
2989,sumo og kush,
2990,sun ra,8.0
2991,sunburn,41.0
2992,sundae driver,61.0
2993,sunlight skunk,
2994,sunny d,10.0
2995,sunset,34.0
2996,sunset fire,
2997,sunset haze,11.0
2998,sunshine,69.0
2999,sunshine 4,55.0
3000,sunshine daydream,86.0
3001,supa don,
3002,super chronic,6.0
3003,super blue dream,233.0
3004,super bud,18.0
3005,super cat piss,11.0
3006,super cheese,37.0
3007,super g,7.0
3008,super glu,8.0
3009,super green crack,107.0
3010,super jack,193.0
3011,super kush,83.0
3012,super lemon haze,1939.0
3013,super lemon og,71.0
3014,super silver bullet,1.0
3015,super silver hash plant,1.0
3016,super silver haze,1988.0
3017,super silver lights,
3018,super silver lights,
3019,super snow dog,103.0
3020,super snow lotus,3.0
3021,super sour diesel,522.0
3022,super sour lemon,7.0
3023,super sour og,46.0
3024,super sour skunk,60.0
3025,super sour widow,30.0
3026,super sweet,55.0
3027,supergirl,18.0
3028,superglue,305.0
3029,superman og,208.0
3030,supermax og,46.0
3031,supernatural,20.0
3032,super sour skunk,60.0
3033,super sour widow,30.0
3034,super sweet,55.0
3035,supergirl,18.0
3036,superglue,305.0
3037,superman og,208.0
3038,supermax og,46.0
3039,supernatural,20.0
3040,supernova,50.0
3041,superstar,21.0
3042,suver haze,9.0
3043,suzy q,31.0
3044,swazi gold,78.0
3045,sweet  sour cindy,2.0
3046,sweet amnesia haze,3.0
3047,sweet baby jane,
3048,sweet berry,10.0
3049,sweet black angel,36.0
3050,sweet cheese,92.0
3051,sweet cindy,
3052,sweet deep grapefruit,24.0
3053,sweet diesel,85.0
3054,sweet dream,13.0
3055,sweet dreams,43.0
3056,sweet dreams b44e9f5d217a4d5eba9365ffa0047a94,5.0
3057,sweet harlem diesel,5.0
3058,sweet hawaiian tangie banana,2.0
3059,sweet jane,11.0
3060,sweet jesus,9.0
3061,sweet kush,87.0
3062,sweet lafayette,
3063,sweet nina,
3064,sweet pebbles,10.0
3065,sweet pure cbd,2.0
3066,sweet skunk,13.0
3067,sweet tooth,591.0
3068,sweet valley kush,1.0
3069,sweet and sour widow,48.0
3070,sweeties,9.0
3071,swiss bliss,
3072,swiss gold,
3073,swiss,8.0
3074,swiss sativa,
3075,swiss tsunami,21.0
3076,thc bomb,224.0
3077,tjs cbd,21.0
3078,tachllta till,
3079,tahoe alien,64.0
3080,tahoe frostbite,2.0
3081,tahoe hydro champagne,4.0
3082,tahoe hydro og,13.0
3083,tahoe hydro og,
3084,tahoe purps,
3085,taliban poison,6.0
3086,tangelo,12.0
3087,tangelo kush,
3088,tahoe frostbite,2.0
3089,tahoe hydro champagne,4.0
3090,tahoe hydro og,13.0
3091,tahoe hydro og,
3092,tahoe purps,
3093,taliban poison,6.0
3094,tangelo,12.0
3095,tangelo kush,
3096,tangenesia,
3097,tangerine,201.0
3098,tangerine dream,879.0
3099,tangerine haze,206.0
3100,tangerine kush,250.0
3101,tangerine man,17.0
3102,tangerine power,93.0
3103,tangerine sunrise,10.0
3104,tangerine trainwreck haze,6.0
3105,tangie,1047.0
3106,tangie biscotti,37.0
3107,tangie cookies,38.0
3108,tangie dream,19.0
3109,tangie ghost train,7.0
3110,tangie sunrise,8.0
3111,tangier chilly,
3112,tangilope,132.0
3113,tango kush,9.0
3114,tardis,22.0
3115,tarmonster,
3116,tembo kush,
3117,terminator og,12.0
3118,tesla,10.0
3119,tesla tower,6.0
3120,thai,137.0
3121,thai fantasy,1.0
3122,thai girl,
3123,thai haze,
3124,thai lights,39.0
3125,thai tanic,
3126,thaidal wave,5.0
3127,the big dirty,3.0
3128,the black,75.0
3129,the bling,
3130,the blintz,
3131,the blood,18.0
3132,the boss,
3133,the brotherhood,9.0
3134,the cbg blend,1.0
3135,the cough,31.0
3136,the doctor,34.0
3137,the flav,47.0
3138,the forbidden candy,5.0
3139,the fork,
3140,the fuzz,2.0
3141,the gift,9.0
3142,the grunk,42.0
3143,the guice,2.0
3144,the doctor,34.0
3145,the flav,47.0
3146,the forbidden candy,5.0
3147,the fork,
3148,the fuzz,2.0
3149,the gift,9.0
3150,the grunk,42.0
3151,the guice,2.0
3152,hog,125.0
3153,the lime,3.0
3154,the loops,5.0
3155,the ox,20.0
3156,the one,35.0
3157,the ooze,6.0
3158,the original lemonnade,4.0
3159,the real mccoy,4.0
3160,the sauce,52.0
3161,the sheriff,1.0
3162,the sister,7.0
3163,the third dimension,38.0
3164,the truth,92.0
3165,the vision,10.0
3166,the void,59.0
3167,the void,
3168,the white angel,6.0
3169,the wife,39.0
3170,the wills,
3171,thelonious skunk,11.0
3172,thelonious skunk,
3173,think different,30.0
3174,thors hammer,23.0
3175,three blue kings,2.0
3176,throwback kush,
3177,thunderbird rose,14.0
3178,thunderstruck,16.0
3179,tickle kush,10.0
3180,tiger woods,
3181,tigers milk,115.0
3182,tigermelon,7.0
3183,tillamook strawberry,22.0
3184,timewreck,139.0
3185,tina,9.0
3186,tina danza,36.0
3187,titans haze,
3188,tokyo og,39.0
3189,tommys home grown,
3190,tonics web,
3191,tora bora,100.0
3192,toxic,7.0
3193,toxic punch,
3194,training day,60.0
3195,trainwreck,2794.0
3196,tranquil elephantizer remix,39.0
3197,transformer,
3198,trap star,16.0
3199,trash,
3200,toxic,7.0
3201,toxic punch,
3202,training day,60.0
3203,trainwreck,2794.0
3204,tranquil elephantizer remix,39.0
3205,transformer,
3206,trap star,16.0
3207,trash,
3208,travel joint,
3209,treasure island,25.0
3210,tree of life,13.0
3211,tres dawg,31.0
3212,trewbacca,1.0
3213,triangle kush,130.0
3214,trident,26.0
3215,trifecta,9.0
3216,trinity,175.0
3217,triple cheese,29.0
3218,triple diesel,66.0
3219,triple scoop,
3220,trix,18.0
3221,trophy wife,1.0
3222,tropic thunder,22.0
3223,tropical tang,20.0
3224,tropicali,31.0
3225,tropicana cookies,55.0
3226,tropicana punch,2.0
3227,true face,
3228,true love,
3229,true og,435.0
3230,true x,4.0
3231,trueberry,15.0
3232,truffle butter,10.0
3233,truffula tree,1.0
3234,truth serum,
3235,tuna kush,75.0
3236,tuna og,3.0
3237,turbo mind warp,
3238,tutankhamon,195.0
3239,tutti frutti,80.0
3240,twista,17.0
3241,twisted citrus,34.0
3242,two beards,
3243,tyson,50.0
3244,u2 kush,39.0
3245,uk cheese,573.0
3246,uw,128.0
3247,ultimate trainwreck,36.0
3248,ultra banana,5.0
3249,ultra sonja,26.0
3250,ultra sour,32.0
3251,ultraviolet og,34.0
3252,urkle train haze,49.0
3253,vcdc,42.0
3254,az super sour og,21.0
3255,vader og,27.0
3256,ultra banana,5.0
3257,ultra sonja,26.0
3258,ultra sour,32.0
3259,ultraviolet og,34.0
3260,urkle train haze,49.0
3261,vcdc,42.0
3262,az super sour og,21.0
3263,vader og,27.0
3264,valentine x,21.0
3265,valley ghash,8.0
3266,valley girl,38.0
3267,vanilla frosting,4.0
3268,vanilla gorilla,8.0
3269,vanilla kush,489.0
3270,vanilluna,
3271,velvet bud,13.0
3272,velvet krush,
3273,velvet purps,5.0
3274,venice og,33.0
3275,venom og,166.0
3276,venus og,9.0
3277,verde electric,43.0
3278,versace,28.0
3279,very berry haze,53.0
3280,very cherry,2.0
3281,vietnamese bubba,2.0
3282,violator kush,303.0
3283,violet delight,65.0
3284,violeta,6.0
3285,viper,53.0
3286,vixen,1.0
3287,voodoo,69.0
3288,vortex,264.0
3289,wmd,19.0
3290,wsu,
3291,wtf,8.0
3292,wabanaki,34.0
3293,waipi o hapa,10.0
3294,wakanda og,6.0
3295,waldo,
3296,walker kush,45.0
3297,wally og,
3298,walrus kush,
3299,walter white,56.0
3300,wappa,153.0
3301,warlock,72.0
3302,washing machine,9.0
3303,watermelon,198.0
3304,webster,10.0
3305,wedding cake,624.0
3306,wedding crasher,43.0
3307,weebes world,
3308,wellness og,32.0
3309,wembley,3.0
3310,west coast dawg,
3311,west og,8.0
3312,webster,10.0
3313,wedding cake,624.0
3314,wedding crasher,43.0
3315,weebes world,
3316,wellness og,32.0
3317,wembley,3.0
3318,west coast dawg,
3319,west og,8.0
3320,wet dream,72.0
3321,wheres my bike,19.0
3322,whipped cherries,
3323,whitaker blues,
3324,white 99,75.0
3325,white bastard,
3326,white berry,179.0
3327,white bubblegum,2.0
3328,white buffalo,143.0
3329,white caramel cookies,
3330,white castle,11.0
3331,white cheese,43.0
3332,white cherry truffle,8.0
3333,white choco,4.0
3334,white chocolate,5.0
3335,white cookies,84.0
3336,white dawg,67.0
3337,white dawg fire og,4.0
3338,white diesel,52.0
3339,white domina,4.0
3340,white dragon,23.0
3341,white dream,32.0
3342,white durban,25.0
3343,white elephant,38.0
3344,white empress,
3345,white fire 43,50.0
3346,white fire alien og,108.0
3347,white fire alien og,
3348,white girl,10.0
3349,white gold,122.0
3350,white gorilla,41.0
3351,white harmony,6.0
3352,white haze,28.0
3353,white ice,4.0
3354,white knight,22.0
3355,white kryptonite,13.0
3356,white kush,95.0
3357,white lsd,11.0
3358,white lavender,61.0
3359,white lemon,1.0
3360,white lightning,96.0
3361,white lotus,36.0
3362,white master,3.0
3363,white moonshine,1.0
3364,white nightmare,114.0
3365,white og,85.0
3366,white queen,44.0
3367,white rhino,1109.0
3368,white lightning,96.0
3369,white lotus,36.0
3370,white master,3.0
3371,white moonshine,1.0
3372,white nightmare,114.0
3373,white og,85.0
3374,white queen,44.0
3375,white rhino,1109.0
3376,white romulan,61.0
3377,white russian,502.0
3378,white ryder,
3379,white sangria,23.0
3380,white siberian,42.0
3381,white skunk,37.0
3382,white slipper,31.0
3383,white smurf,11.0
3384,white strawberry,5.0
3385,white strawberry skunk,3.0
3386,white strawberry skunk,
3387,white tahoe cookies,81.0
3388,white tygh dream,8.0
3389,white urkle,75.0
3390,white walker kush,68.0
3391,white walrus,2.0
3392,white widow,3824.0
3393,white zombie,65.0
3394,whiteout,9.0
3395,whitewalker og,96.0
3396,wild thailand,25.0
3397,willie berrie,
3398,willie cheesie,
3399,willie nelson,130.0
3400,willies ghost,1.0
3401,willy gs lebanese,
3402,willy wonka,52.0
3403,willys wonder,226.0
3404,wish mountain,4.0
3405,wolfberry,
3406,wonder haze,16.0
3407,wonder kid,5.0
3408,wonder woman,158.0
3409,wonderwoman og,42.0
3410,wonka s bubbilicious,56.0
3411,woody kush,66.0
3412,wookie,19.0
3413,wookies,76.0
3414,wreckage,17.0
3415,x file,
3416,x files,10.0
3417,x wing,16.0
3418,x tra chz,
3419,x18 pure pakistani,
3420,xj 13,858.0
3421,xxx 420,18.0
3422,xxx og,275.0
3423,xanadu,4.0
3424,x files,10.0
3425,x wing,16.0
3426,x tra chz,
3427,x18 pure pakistani,
3428,xj 13,858.0
3429,xxx 420,18.0
3430,xxx og,275.0
3431,xanadu,4.0
3432,y griega,64.0
3433,yem og,1.0
3434,yeti og,58.0
3435,yoda og,319.0
3436,yodas brain,19.0
3437,yogi diesel,
3438,yolo berry,4.0
3439,yumboldt,72.0
3440,yummy,37.0
3441,zamaldelica,4.0
3442,zardde gold,
3443,zeitgeist,
3444,zelda,11.0
3445,zellys gift,25.0
3446,zen,26.0
3447,zerculese,1.0
3448,zeta sage,64.0
3449,zeus og,42.0
3450,zkittlez,402.0
3451,zombie kush,35.0
3452,zombie og,71.0
3453,zoom pie,10.0
3454,hai fantasy,1.0
3455,hai fantasy,
3456,hai fantasy,
3457,hai fantasy,
3458,alenuihaha,6.0
3459,alenuihaha,
